seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12405,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5230952380952381,0.532603025560772,0.06140238095238141,0.3287272727272727,0.0
12405,success_fed_thirdfactor,0.95,0.9305000000000002,0.32,0.4,0.64,0.6057142857142858,0.6059009483667018,0.2181571428571484,0.27450980392156865,0.0
12405,ethicalsense_fed_thirdfactor,0.95,0.5079199999999995,0.32,0.4,0.64,0.5038095238095238,0.4923234390992835,-0.00614761904761943,0.3416422287390029,0.0
12405,ethicalsense_plus_idealgap,0.4741009335765139,0.503165925158247,0.822123354432928,0.8519110189896351,0.3484664616661351,0.5185714285714286,0.5088787417554541,0.020492857142856962,0.336231884057971,0.613941018766756
12406,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5152380952380953,0.522146951537259,0.04303095238095299,0.3309143686502177,0.0
12406,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6116666666666667,0.6097057305110997,0.21983095238095812,0.26330338631651695,0.0
12406,ethicalsense_fed_thirdfactor,0.95,0.5015199999999997,0.32,0.4,0.64,0.4928571428571429,0.4897959183673469,-0.008292857142857697,0.3668515950069348,0.0
12406,ethicalsense_plus_idealgap,0.4841807268727385,0.633857636876658,0.8465173608271338,0.8738656247444205,0.3336946886901702,0.5264285714285715,0.5310880829015544,0.06014285714285746,0.3315985130111524,0.6558265582655827
12407,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5192857142857142,0.5077581594435527,0.0459357142857145,0.34595775673707213,0.0
12407,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5995238095238096,0.5882962195753496,0.18823095238095788,0.27875793930839804,0.0
12407,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5004761904761905,0.5118387909319899,0.0017976190476187625,0.3496402877697842,0.0
12407,ethicalsense_plus_idealgap,0.4692580059362912,0.5134061085725163,0.819193061250391,0.8492737551253525,0.34853167144029423,0.5019047619047619,0.49427679500520294,0.0021761904761900823,0.3407942238267148,0.6574074074074074
12408,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5152380952380953,0.5247828308635667,0.03625952380952388,0.3338181818181818,0.0
12408,success_fed_thirdfactor,0.95,0.9390000000000002,0.32,0.4,0.64,0.6002380952380952,0.614572333685322,0.2217095238095294,0.2886002886002886,0.0
12408,ethicalsense_fed_thirdfactor,0.95,0.50128,0.32,0.4,0.64,0.5154761904761904,0.515984015984016,0.016676190476190428,0.328159645232816,0.0
12408,ethicalsense_plus_idealgap,0.5003148116568817,0.94,0.8922204154643432,0.9149983739179084,0.3047247554670586,0.5719047619047619,0.5844700944386149,0.16229047619048054,0.28939828080229224,0.7106741573033708
12409,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5097619047619047,0.49203903441191577,0.001354761904761888,0.3461259956553222,0.0
12409,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5938095238095238,0.6006305832895428,0.20021666666667232,0.29278951201748,0.0
12409,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5011904761904762,0.4952431289640592,0.010176190476190563,0.35051546391752575,0.0
12409,ethicalsense_plus_idealgap,0.4952556069025888,0.9025586721379963,0.8891757041477557,0.9122581337329808,0.30477972228301287,0.5388095238095238,0.5308707124010554,0.08077380952381083,0.336996336996337,0.72
