seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11842,no_codevelopment,0.22,0.54,0.68,0.28,0.48375,0.44140969162995597,-0.044583333333333336,0.6825775656324582,0.0,0.0
11842,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48,0.44136078782453,-0.04,0.7014218009478673,-0.040000000000000036,0.0
11842,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4725,0.4099547511312217,-0.07083333333333333,0.7037037037037037,-0.040000000000000036,0.0
11843,no_codevelopment,0.22,0.54,0.68,0.28,0.495,0.4696132596685083,0.015,0.6826697892271663,0.0,0.0
11843,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.45875,0.40421792618629176,-0.10625,0.695078031212485,-0.040000000000000036,0.0
11843,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47333333333333333,0.41952983725135623,-0.06166666666666667,0.7199017199017199,-0.040000000000000036,0.0
11844,no_codevelopment,0.22,0.54,0.68,0.28,0.48875,0.46089385474860334,0.00625,0.7063583815028902,0.0,0.0
11844,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47875,0.4291151284490961,-0.02125,0.7051597051597052,-0.040000000000000036,-0.0039599999999999635
11844,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4825,0.4437269372693727,-0.02,0.6678362573099416,-0.040000000000000036,0.0
11845,no_codevelopment,0.22,0.54,0.68,0.28,0.4875,0.4599434495758718,0.01,0.7080890973036342,0.0,0.0
11845,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4825,0.4306049822064057,-0.050833333333333335,0.7068366164542295,-0.040000000000000036,0.0
11845,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4895833333333333,0.4231464737793852,-0.042083333333333334,0.6586206896551724,-0.040000000000000036,-0.0018000000000000238
11846,no_codevelopment,0.22,0.54,0.68,0.28,0.48833333333333334,0.4626728110599078,0.0025,0.6933174224343676,0.0,0.0
11846,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.49666666666666665,0.45471521942110177,0.01,0.6960297766749379,-0.040000000000000036,0.0
11846,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47583333333333333,0.43947858472998136,-0.025833333333333333,0.7313253012048193,-0.040000000000000036,0.0
11847,no_codevelopment,0.22,0.54,0.68,0.28,0.48291666666666666,0.43450767841011745,-0.03875,0.7084309133489461,0.0,0.0
11847,one_way_thirdfactor_to_ethicalsense,0.22,0.50396,0.9,0.1,0.4741666666666667,0.43144424131627057,-0.04416666666666667,0.7019950124688279,-0.040000000000000036,0.0039599999999999635
11847,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4841666666666667,0.42641509433962266,-0.0225,0.709154113557358,-0.040000000000000036,0.0
11848,no_codevelopment,0.22,0.54,0.68,0.28,0.49083333333333334,0.42802303262955854,-0.005833333333333334,0.7107728337236534,0.0,0.0
